id,name,coordinate_status,booth_location,candidate_longitude,candidate_latitude,anchor_kind,anchor,constraint_distance_m,location_check,publication_decision
12742.1,1919 Root Beer,verified,Southeast corner of Dan Patch Ave. & Underwood St. outside The Garden,-93.1703352,44.9809803,street_corner,Dan Patch Avenue & Underwood Street,22.0,manual_review_15_to_30m,retain_verified
2114.1,3B Fresh Squeezed Lemonade & Foot Long Corn Dogs,withheld,West side of Liggett St. between Carnes & Judson avenues,-93.174149666026,44.978771392184,street_segment,Liggett Street between Carnes Avenue and Judson Avenue,95.1,reject_over_30m,keep_withheld_priority_review
6135.1,About a Foot Long Hot Dog,missing,Southwest corner of Carnes Ave. & Nelson St.,,,none,No coordinate candidate,,unparsed,no_coordinate_candidate
6449.1,About a Foot Long Hot Dog,withheld,"South side of Judson Ave. between Liggett & Clough streets, in front of the Lee & Rose Warner Coliseum",-93.1738553,44.978449884892,street_segment,Judson Avenue between Liggett Street and Clough Street,15.2,manual_review_15_to_30m,manual_evidence_required
9642.1,About a Foot Long Hot Dog,withheld,East side of Cosgrove St. between the Fine Arts Center & 4-H Building,-93.168036,44.9839827,named_place_or_building,Fine Arts Center,17.5,manual_review_15_to_30m,manual_evidence_required
9642.2,About a Foot Long Hot Dog,withheld,Northwest corner of Dan Patch Ave. & Cooper St.,-93.1693751,44.9814141,street_corner,Dan Patch Avenue & Cooper Street,37.2,reject_over_30m,keep_withheld_priority_review
6449.2,About a Foot Long Hot Dog,withheld,Southeast corner of Judson Ave. & Underwood St.,-93.168867953526,44.977873963109,street_corner,Judson Avenue & Underwood Street,153.4,reject_over_30m,keep_withheld_priority_review
7388.1,Afro Deli & Grill,verified,"In the Food Building, east wall",-93.16944,44.9803502,named_place_or_building,Food Building,0.0,consistent_with_written_location,retain_verified
210.1,Al's Subs & Malt Shop,verified,"East side of Nelson St. between Dan Patch & Carnes avenues, next to the Giant Slide",-93.1718193,44.9803951,street_segment,Nelson Street between Dan Patch Avenue and Carnes Avenue,12.7,consistent_with_written_location,retain_verified
792.3,Aldo's Burgers,withheld,"In the Lee & Rose Warner Coliseum, west side",-93.174896844329,44.978295168621,named_place_or_building,Lee & Rose Warner Coliseum,0.0,consistent_with_written_location,manual_evidence_required
2770.1,All You Can Drink Milk,verified,Northeast corner of Judson Ave. & Clough St.,-93.1733688,44.9786946,street_corner,Judson Avenue & Clough Street,20.5,manual_review_15_to_30m,retain_verified
1328.1,The Anchor Coffee House,withheld,West side of Underwood St. between Dan Patch & Carnes avenues,-93.169719014103,44.979551072007,street_segment,Underwood Street between Dan Patch Avenue and Carnes Avenue,75.1,reject_over_30m,keep_withheld_priority_review
1872.1,Andy's Grille,verified,South side of Carnes Ave. between Chambers & Nelson streets,-93.1743171,44.979745,street_segment,Carnes Avenue between Chambers Street and Nelson Street,14.2,consistent_with_written_location,retain_verified
5937.1,Attavio's Fries,withheld,"West side of Cooper St. between Dan Patch and Judson avenues, outside the Food Building",-93.17051655641,44.979407802061,street_segment,Cooper Street between Dan Patch Avenue and Judson Avenue,127.2,reject_over_30m,keep_withheld_priority_review
5177.1,Auntie M's Gluten Free,withheld,"South side of Judson Ave. between Nelson & Underwood streets, just west of Adventure Park",-93.173444394872,44.977904475598,street_segment,Judson Avenue between Nelson Street and Underwood Street,127.3,reject_over_30m,keep_withheld_priority_review
1899.1,Australian Battered Potatoes,withheld,South side of Judson Ave. between Nelson & Underwood streets,-93.172825984828,44.977903913226,street_segment,Judson Avenue between Nelson Street and Underwood Street,93.1,reject_over_30m,keep_withheld_priority_review
5146.1,BABA'S,verified,East side of Underwood St. between Murphy & Lee avenues,-93.1708125,44.9846875,street_segment,Underwood Street between Murphy Avenue and Lee Avenue,130.0,reject_over_30m,reopen_verified_before_next_publish
616.1,Ball Park Cafe,verified,East side of Underwood St. between Dan Patch & Carnes avenues,-93.1700734,44.9803924,street_segment,Underwood Street between Dan Patch Avenue and Carnes Avenue,36.4,reject_over_30m,reopen_verified_before_next_publish
6041.1,Bandstand Concessions,withheld,Inside the Grandstand Concert Venue,-93.171914135256,44.982716512152,unparsed,,,unparsed,manual_evidence_required
1932.1,Bayou Bob's Gator Shack,verified,Southeast corner of Dan Patch Ave. & Nelson St.,-93.171734,44.9807911,street_corner,Dan Patch Avenue & Nelson Street,27.8,manual_review_15_to_30m,retain_verified
11830.1,Beans & Beignets,withheld,Northwest corner of Judson Ave. & Clough St.,-93.173685963462,44.978813280576,street_corner,Judson Avenue & Clough Street,26.1,manual_review_15_to_30m,manual_evidence_required
1509.4,The Big Cheese Cheese Curds,withheld,"West side of Liggett St. at Carnes Ave., just south of Mighty Midway",-93.176812700641,44.979124115497,named_place_or_building,Midway Lot,56.6,reject_over_30m,keep_withheld_priority_review
1783.1,Big Dog Corndogs,withheld,Northeast corner of Randall Ave. & Underwood St.,-93.169663734271,44.98368117601,street_corner,Randall Avenue & Underwood Street,101.2,reject_over_30m,keep_withheld_priority_review
1783.2,Big Dog Corndogs,withheld,West side of Underwood St. between Carnes & Judson avenues,-93.169851372185,44.979507210913,street_segment,Underwood Street between Carnes Avenue and Judson Avenue,54.7,reject_over_30m,keep_withheld_priority_review
1952.1,Big Fat Bacon,verified,South side of Dan Patch Ave. between Nelson & Underwood streets,-93.1708786,44.9809673,street_segment,Dan Patch Avenue between Nelson Street and Underwood Street,14.7,consistent_with_written_location,retain_verified
1968.1,The Blue Barn,verified,"At West End Market, south of History & Heritage Center",-93.1760875,44.9811063,named_place_or_building,History & Heritage Center,21.6,manual_review_15_to_30m,retain_verified
212.1,Blue Moon Dine-In Theater,verified,Northeast corner of Carnes Ave. & Chambers St.,-93.1740994,44.9800146,street_corner,Carnes Avenue & Chambers Street,24.8,manual_review_15_to_30m,retain_verified
1974.1,The Blue Ox Burger Bar,withheld,Southeast corner of Judson Ave. & Clough St.,-93.172088763462,44.978105607253,street_corner,Judson Avenue & Clough Street,129.3,reject_over_30m,keep_withheld_priority_review
1509.3,Bratwurst,withheld,Northwest corner of Carnes Ave. & Nelson St.,-93.1722972,44.9800237,street_corner,Carnes Avenue & Nelson Street,22.1,manual_review_15_to_30m,manual_evidence_required
5733.5,Bridge N' Barrel Root Beer,withheld,Northwest corner of Randall & Underwood streets,-93.171398589771,44.983942720834,street_corner,Randall Avenue & Underwood Street,87.3,reject_over_30m,keep_withheld_priority_review
5733.3,Bridge N' Barrel Root Beer,withheld,Northwest corner of Wright Ave. & Cooper St.,-93.168141730769,44.982909562123,street_corner,Wright Avenue & Cooper Street,86.1,reject_over_30m,keep_withheld_priority_review
5733.2,Bridge N' Barrel Root Beer,withheld,Northwest corner of Carnes Ave. & Underwood St.,-93.1706802,44.9799609,street_corner,Carnes Avenue & Underwood Street,13.2,consistent_with_written_location,manual_evidence_required
