batch_position,id,name,outcome,old_coordinates,new_coordinates,delta_m,reason,official_url,independent_url,reviewed_on
1,8386.1,Peachey's Baking Company,insufficient_evidence,,,0,Exact-place search resolved LuLu's Public House rather than Peachey's; no safe booth pin found.,https://www.mnstatefair.org/vendor/8386.1/,,2026-08-29
2,8924.1,Peterson's Pork Chops,insufficient_evidence,,,0,"Search returned the off-site operator and general fair results, not the fair booth.",https://www.mnstatefair.org/vendor/8924.1/,,2026-08-29
3,3077.1,Poncho Dogs,insufficient_evidence,,,0,Multiple same-name fair records and no record-specific independent booth address; unsafe to collapse locations.,https://www.mnstatefair.org/vendor/3077.1/,,2026-08-29
4,3079.1,Poncho Dogs,insufficient_evidence,,,0,Multiple same-name fair records and no record-specific independent booth address; unsafe to collapse locations.,https://www.mnstatefair.org/vendor/3079.1/,,2026-08-29
5,3079.3,Poncho Dogs,insufficient_evidence,,,0,Multiple same-name fair records and no record-specific independent booth address; unsafe to collapse locations.,https://www.mnstatefair.org/vendor/3079.3/,,2026-08-29
6,3095.1,Pretzel Dogs,insufficient_evidence,,,0,Exact-place review returned no record-specific fair booth pin or address; left unverified.,https://www.mnstatefair.org/vendor/3095.1/,,2026-08-29
7,1023.1,Pronto Pups,insufficient_evidence,,,0,Multiple same-name fair records and no record-specific independent booth address; unsafe to collapse locations.,https://www.mnstatefair.org/vendor/1023.1/,,2026-08-29
8,3111.1,Pronto Pups,insufficient_evidence,,,0,Multiple same-name fair records and no record-specific independent booth address; unsafe to collapse locations.,https://www.mnstatefair.org/vendor/3111.1/,,2026-08-29
9,5028.1,Pronto Pups,insufficient_evidence,,,0,Multiple same-name fair records and no record-specific independent booth address; unsafe to collapse locations.,https://www.mnstatefair.org/vendor/5028.1/,,2026-08-29
10,5687.1,Pronto Pups,insufficient_evidence,,,0,Multiple same-name fair records and no record-specific independent booth address; unsafe to collapse locations.,https://www.mnstatefair.org/vendor/5687.1/,,2026-08-29
11,7805.1,Pronto Pups,insufficient_evidence,,,0,Multiple same-name fair records and no record-specific independent booth address; unsafe to collapse locations.,https://www.mnstatefair.org/vendor/7805.1/,,2026-08-29
12,1856.1,RC Cola,insufficient_evidence,,,0,Exact-place review returned no record-specific fair booth pin or address; left unverified.,https://www.mnstatefair.org/vendor/1856.1/,,2026-08-29
13,3173.1,Rice Kristie Bars,insufficient_evidence,,,0,Exact-place review returned no record-specific fair booth pin or address; left unverified.,https://www.mnstatefair.org/vendor/3173.1/,,2026-08-29
